Linha;Vista;Empresa
SP850;SP - SAO GERALDO X CAMPO GRANDE;Pégaso
851;C.GRANDE X ESC.AMAZONAS (VIA A.VASCONCELOS)CIRC.;Jabour
852;C.GRANDE X PEDRA DE GUARATIBA (V.MATO ALTO-CIRC);POOL: Jabour - Jabour
853;VILA KENNEDY X ESTACAO BRT MATO ALTO(CIRCULAR);Jabour
SV853;SV-VILA KENNEDY X EST. MATO ALTO (V.S.GERALDO)CIRC;Jabour
854;C.GRANDE X EST.I.GUARATIBA(V.ESTR.CACHAMORRA)CIRC.;Jabour
SN854;SN-C.GRANDE X EST.I.GUARATIBA(V.ESTR.CACHAMORRA)CI;Jabour
SPA854;SPA - CAMPO GRANDE X ESTR. MATO ALTO (CIRCULAR);Jabour
SPB854;SPB - ESTR. MATO ALTO X ESTR.I. DE GUARATIBA)CIRC.;Jabour
855;BANGU X MAGARCA (VIA AV. SANTA CRUZ)CIRCULAR;POOL: Jabour - Jabour
856;CURICICA X TAQUARA (CIRCULAR);Transportes Santa Maria Ltda.
857;JARDIM 7 DE ABRIL X PACIENCIA(V. GOUVEIA)CIRCULAR;Consórcio Santa Cruz
858;SAO FERNANDO X PACIENCIA (CIRCULAR);POOL: Pégaso - Campo Grande
859;COVANCA X LARGO DO TANQUE (CIRCULAR);Litoral Rio
860;RIO DAS PEDRAS X FREGUESIA (CIRCULAR);Futuro
861;RIO DAS PEDRAS X CURICICA (VIA CIDADE DE DEUS);Redentor
862;RIO DAS PEDRAS X BARRA(VIA ESTR.JACAREPAGUA)CIRC.;POOL: Redentor - Redentor
863;RIO DAS PEDRAS X BARRA(VIA AV. AYRTON SENNA)CIRC.;Redentor
864;BANGU X CAMPO GRANDE;Jabour
865;PAU DA FOME X TAQUARA (VIA RODRIGUES CALDAS)CIRC;Transportes Santa Maria Ltda.
866;CAMPO GRANDE X PEDRA DE GUARATIBA(V. MAGARCA)CIRC.;POOL: Jabour - Jabour
SV866;SV - CINCO MARIAS X CAMPO GRANDE (CIRCULAR);Jabour
867;BARRA DE GUARATIBA X CAMPO GRANDE(V.ILHA GUARATIBA;POOL: Jabour - Jabour - Jabour
SE867;SE -BARRA DE GUARATIBA X CAMPO GRANDE (V. AMERICAS;Jabour
SN867;SN -BARRA DE GUARATIBA X C.GRANDE(V.ILHA GUARATIBA;Jabour
868;URUCANIA X CAMPO GRANDE;Palmares
869;SANTA MARGARIDA X CAMPO GRANDE (CIRCULAR);Palmares
870;SEPETIBA X SANTA CRUZ (CIRCULAR);POOL: Campo Grande - Pégaso
SV870;SV - SEPETIBA X SANTA CRUZ(VIA CROACIA)CIRCULAR;Barra
871;SEPETIBA X ESTACAO CESARAO III(V.CROACIA)CIRCULAR;POOL: Jabour - Consórcio Santa Cruz
872;SEPETIBA X ESTACAO CESARAOIII(V.PRAIA SEPETIBA)CIR;POOL: Jabour - Consórcio Santa Cruz
873;JARDIM 7 DE ABRILXPACIENCIA(V.CESARIO DE MELO)CIRC;Pégaso
874;MARAMBAIA X ESTACAO ILHA DE GUARATIBA(CIRCULAR);Jabour
875;PRACA SECA X CHACARA (CIRCULAR);POOL: Futuro - Transportes Santa Maria Ltda.
877;TANQUE X RIO DAS PEDRAS(CIRCULAR);Futuro
878;TANQUE X BARRA DA TIJUCA(V.AV.ENG.SOUZA FILHO)CIRC;POOL: Barra - Barra
SV878;SV-TANQUE X B. DA TIJUCA(V.ESTR.DE JACAREPAGUA)CIR;POOL: Barra - Barra
879;CAMPO GRANDE X MAGARCA(CIRCULAR);Pégaso
880;RIO DAS PEDRAS X ALVORADA;Litoral Rio
882;TANQUE X ALVORADA (VIA FREGUESIA);Futuro
883;BANGU X EST.MATO ALTO(VIA ESTRADA DO PRE)CIRCULAR;Jabour
884;SEPETIBA X CAMPO GRANDE;POOL: Jabour - Jabour - Jabour
SP884;SP - SEPETIBA X MAGAR?A;Jabour
885;PIRAQUE X SANTA CRUZ (VIA PEDRA DE GUARATIBA);Pégaso
886;FREGUESIA X BARRA DA TIJUCA (CIRCULAR);Futuro
887;PECHINCHA X BARRA DA TIJUCA (CIRCULAR);Redentor
888;ALVORADA X JOATINGA(VIA ERICO VERISSIMO)CIRCULAR;Redentor
889;SULACAP X TAQUARA;Barra
