"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"12866688","148","2305","Jardim América - Castelo","2305-JARDIM AMERICA - CASTELO","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12866688&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","BAD80A",
"12861084","148","613","Del Castilho - Rio Centro (via Autódromo/Linha Amarela)","613-DEL CASTILHO - RIO CENTRO (VIA AUTODROMO / LINHA AMARELA)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12861084&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","607C8C",
"13462805","148","2304","Sepetiba - Carioca (via Av. Padre Guilherme Decaminada)","2304-SEPETIBA - CARIOCA (VIA AV. PADRE G. DECAMINADA)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=13462805&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","D62828",
"12860141","148","370","Padre Miguel - Carioca","370-PADRE MIGUEL - CARIOCA (VIA AV. BRASIL)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12860141&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","D62828",
"12865059","148","822","Campo Grande - Corcundinha (via Vila Nova) (Circular)","822-CAMPO GRANDE - CORCUNDINHA (VIA VILA NOVA) (CIRCULAR)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12865059&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","D62828",
"12860406","148","326","Bancários - Castelo (Circular)","326-BANCARIOS - CASTELO (CIRCULAR)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12860406&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","BAD80A",
"12863188","148","750","Sepetiba - Coelho Neto","750-SEPETIBA - COELHO NETO","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12863188&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","D62828",
"12864922","148","829","Gardênia Azul - Freguesia (Circular)","829-GARDENIA AZUL - FREGUESIA (CIRCULAR)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12864922&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","607C8C",
"12869236","148","2308","Cosmos - Carioca (via Av. Brasil)","2308-COSMOS - CARIOCA (VIA AV. BRASIL)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12869236&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","D62828",
"12862144","148","795","Magalhães Bastos - Pavuna (via Mariópolis)","795-PAVUNA - MAGALHAES BASTOS (VIA MARIOPOLIS)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12862144&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","BAD80A",
